Model,CV_Accuracy,CV_F1_Weighted,Test_Accuracy,Test_F1_Weighted,Test_F1_Class_0,Test_F1_Class_1,Test_F1_Class_2,Test_F1_Class_macro avg,Test_F1_Class_weighted avg
LogisticRegression,0.763191,0.763058,0.730310,0.728325,0.636364,0.775610,0.700000,0.703991,0.728325
DecisionTreeClassifier,0.831345,0.828757,0.823389,0.819040,0.571429,0.876238,0.817927,0.755198,0.819040
RandomForestClassifier,0.846294,0.844555,0.825776,0.822276,0.575000,0.883375,0.816901,0.758425,0.822276
GradientBoostingClassifier,0.833733,0.831957,0.809069,0.807918,0.551724,0.876574,0.796610,0.741636,0.807918
SVC,0.827161,0.824718,0.792363,0.788679,0.518519,0.865672,0.771831,0.718674,0.788679
MLPClassifier,0.812802,0.811570,0.761337,0.759384,0.481928,0.821429,0.760331,0.687896,0.759384
GaussianNB,0.769756,0.777487,0.727924,0.735604,0.557377,0.777778,0.733728,0.689628,0.735604
KNeighborsClassifier,0.822973,0.821284,0.801909,0.799731,0.604651,0.859951,0.782609,0.749070,0.799731
