Model,CV_Accuracy,CV_F1_Weighted,Test_Accuracy,Test_F1_Weighted,Test_F1_Class_0,Test_F1_Class_1,Test_F1_Class_2,Test_F1_Class_macro avg,Test_F1_Class_weighted avg
LogisticRegression,0.740753,0.735989,0.680191,0.687664,0.558824,0.734584,0.668693,0.654034,0.687664
DecisionTreeClassifier,0.775628,0.771337,0.661098,0.665866,0.482143,0.730570,0.641176,0.617963,0.665866
RandomForestClassifier,0.798024,0.794973,0.696897,0.697620,0.550459,0.775000,0.650456,0.658638,0.697620
GradientBoostingClassifier,0.793279,0.789999,0.661098,0.662860,0.462963,0.748130,0.620061,0.610384,0.662860
SVC,0.784239,0.780165,0.665871,0.667394,0.482759,0.768080,0.604361,0.618400,0.667394
MLPClassifier,0.767866,0.763925,0.689737,0.693077,0.477064,0.779747,0.652695,0.636502,0.693077
GaussianNB,0.731281,0.726961,0.663484,0.671233,0.540146,0.718499,0.652439,0.637028,0.671233
KNeighborsClassifier,0.778209,0.772873,0.687351,0.691840,0.512397,0.765743,0.656250,0.644797,0.691840
