Model,CV_Accuracy,CV_F1_Weighted,Test_Accuracy,Test_F1_Weighted,Test_F1_Class_0,Test_F1_Class_1,Test_F1_Class_2,Test_F1_Class_macro avg,Test_F1_Class_weighted avg
LogisticRegression,0.781239,0.780137,0.727924,0.731166,0.611570,0.777778,0.710280,0.699876,0.731166
DecisionTreeClassifier,0.847973,0.846485,0.758950,0.760302,0.563107,0.817518,0.746914,0.709180,0.760302
RandomForestClassifier,0.865197,0.864613,0.809069,0.810248,0.612245,0.861386,0.803571,0.759067,0.810248
GradientBoostingClassifier,0.859165,0.858413,0.785203,0.788599,0.563107,0.845570,0.782353,0.730343,0.788599
SVC,0.847111,0.846002,0.768496,0.773866,0.509434,0.843188,0.763848,0.705490,0.773866
MLPClassifier,0.836352,0.835683,0.747017,0.749892,0.581197,0.818859,0.716981,0.705679,0.749892
GaussianNB,0.795438,0.794336,0.730310,0.736611,0.590164,0.774536,0.731563,0.698754,0.736611
KNeighborsClassifier,0.853132,0.851875,0.787589,0.791415,0.598131,0.838384,0.788060,0.741525,0.791415
