Model,CV_Accuracy,CV_F1_Weighted,Test_Accuracy,Test_F1_Weighted,Test_F1_Class_0,Test_F1_Class_1,Test_F1_Class_2,Test_F1_Class_macro avg,Test_F1_Class_weighted avg
LogisticRegression,0.710117,0.707327,0.646778,0.655727,0.520548,0.715054,0.625000,0.620201,0.655727
DecisionTreeClassifier,0.738562,0.734053,0.632458,0.631245,0.524138,0.735000,0.546075,0.601738,0.631245
RandomForestClassifier,0.759353,0.753430,0.680191,0.686955,0.553191,0.755906,0.645570,0.651556,0.686955
GradientBoostingClassifier,0.746092,0.740763,0.677804,0.682081,0.567376,0.756477,0.630225,0.651359,0.682081
SVC,0.721438,0.719027,0.653938,0.662991,0.524138,0.737127,0.617284,0.626183,0.662991
MLPClassifier,0.710117,0.705820,0.663484,0.673417,0.536913,0.724324,0.652038,0.637758,0.673417
GaussianNB,0.717718,0.712975,0.656325,0.664571,0.535211,0.713137,0.643963,0.630770,0.664571
KNeighborsClassifier,0.738562,0.728759,0.649165,0.656133,0.506494,0.749354,0.592593,0.616147,0.656133
