Model,CV_Accuracy,CV_F1_Weighted,Test_Accuracy,Test_F1_Weighted,Test_F1_Class_0,Test_F1_Class_1,Test_F1_Class_2,Test_F1_Class_macro avg,Test_F1_Class_weighted avg
LogisticRegression,0.749865,0.750152,0.706444,0.712052,0.582677,0.759162,0.693009,0.678283,0.712052
DecisionTreeClassifier,0.814232,0.813680,0.766110,0.772769,0.560606,0.865000,0.725490,0.717032,0.772769
RandomForestClassifier,0.814268,0.812587,0.756563,0.761904,0.595420,0.834171,0.724919,0.718170,0.761904
GradientBoostingClassifier,0.806613,0.807100,0.763723,0.768369,0.604651,0.840000,0.731392,0.725348,0.768369
SVC,0.787817,0.785249,0.754177,0.762359,0.565217,0.835821,0.731544,0.710861,0.762359
MLPClassifier,0.765139,0.763673,0.711217,0.721185,0.557143,0.788204,0.689231,0.678192,0.721185
GaussianNB,0.784007,0.783688,0.708831,0.717209,0.564885,0.758065,0.710448,0.677799,0.717209
KNeighborsClassifier,0.776370,0.770718,0.730310,0.734973,0.567164,0.811881,0.693333,0.690793,0.734973
