Model,CV_Accuracy,CV_F1_Weighted,Test_Accuracy,Test_F1_Weighted,Test_F1_Class_0,Test_F1_Class_1,Test_F1_Class_2,Test_F1_Class_macro avg,Test_F1_Class_weighted avg
LogisticRegression,0.763182,0.763874,0.737470,0.736024,0.629213,0.783251,0.711370,0.707945,0.736024
DecisionTreeClassifier,0.787071,0.787003,0.749403,0.745069,0.444444,0.810680,0.747826,0.667650,0.745069
RandomForestClassifier,0.828347,0.825186,0.787589,0.782299,0.526316,0.850123,0.771831,0.716090,0.782299
GradientBoostingClassifier,0.818790,0.815861,0.773270,0.771044,0.554217,0.830000,0.760563,0.714927,0.771044
SVC,0.822964,0.820769,0.794749,0.791769,0.543210,0.857143,0.782123,0.727492,0.791769
MLPClassifier,0.809211,0.808898,0.811456,0.809981,0.597701,0.870647,0.796562,0.754970,0.809981
GaussianNB,0.745825,0.749303,0.720764,0.723657,0.601942,0.773333,0.700000,0.691758,0.723657
KNeighborsClassifier,0.789479,0.785450,0.761337,0.756586,0.525000,0.824096,0.740525,0.696540,0.756586
