Model,CV_Accuracy,CV_F1_Weighted,Test_Accuracy,Test_F1_Weighted,Test_F1_Class_0,Test_F1_Class_1,Test_F1_Class_2,Test_F1_Class_macro avg,Test_F1_Class_weighted avg
LogisticRegression,0.720715,0.719018,0.699284,0.698398,0.560976,0.742268,0.684783,0.662675,0.698398
DecisionTreeClassifier,0.703959,0.698277,0.670644,0.662883,0.424242,0.745679,0.632153,0.600691,0.662883
RandomForestClassifier,0.743428,0.740152,0.692124,0.687080,0.447368,0.760494,0.666667,0.624843,0.687080
GradientBoostingClassifier,0.739237,0.736466,0.687351,0.684565,0.455696,0.758270,0.661202,0.625056,0.684565
SVC,0.741039,0.736201,0.701671,0.697324,0.478873,0.758974,0.684350,0.640733,0.697324
MLPClassifier,0.732648,0.730123,0.644391,0.643809,0.452381,0.701299,0.628726,0.594135,0.643809
GaussianNB,0.685423,0.689139,0.682578,0.685141,0.525253,0.742105,0.662953,0.643437,0.685141
KNeighborsClassifier,0.723069,0.715661,0.677804,0.669959,0.415584,0.754717,0.640950,0.603750,0.669959
